Epoch: 35, Runtime: 0.3871, Loss: 1.651, forward nfe 897, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 36, Runtime: 0.3905, Loss: 1.630, forward nfe 923, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 37, Runtime: 0.3311, Loss: 1.588, forward nfe 949, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 38, Runtime: 0.3915, Loss: 1.537, forward nfe 975, backward nfe 0, tmp_train: 0.4200, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 39, Runtime: 0.3395, Loss: 1.643, forward nfe 1001, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1600, tmp_test: 0.1928, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 40, Runtime: 0.2912, Loss: 1.558, forward nfe 1027, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 41, Runtime: 0.2814, Loss: 1.562, forward nfe 1053, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1600, tmp_test: 0.2530, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 42, Runtime: 0.3131, Loss: 1.561, forward nfe 1079, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1807, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 43, Runtime: 0.4193, Loss: 1.588, forward nfe 1105, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.7000, tmp_test: 0.6024, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 44, Runtime: 0.2765, Loss: 1.529, forward nfe 1131, backward nfe 0, tmp_train: 0.4200, tmp_val: 0.5600, tmp_test: 0.5181, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 45, Runtime: 0.2797, Loss: 1.514, forward nfe 1157, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.7000, tmp_test: 0.5904, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 46, Runtime: 0.2806, Loss: 1.532, forward nfe 1183, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7000, tmp_test: 0.5783, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 47, Runtime: 0.2900, Loss: 1.485, forward nfe 1209, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7200, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 48, Runtime: 0.4218, Loss: 1.580, forward nfe 1235, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 49, Runtime: 0.2979, Loss: 1.499, forward nfe 1261, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 50, Runtime: 0.2884, Loss: 1.524, forward nfe 1287, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 51, Runtime: 0.2785, Loss: 1.536, forward nfe 1313, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 52, Runtime: 0.3025, Loss: 1.537, forward nfe 1339, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 53, Runtime: 0.3140, Loss: 1.499, forward nfe 1365, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 54, Runtime: 0.4082, Loss: 1.559, forward nfe 1391, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 55, Runtime: 0.2917, Loss: 1.520, forward nfe 1417, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 56, Runtime: 0.2697, Loss: 1.547, forward nfe 1443, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 57, Runtime: 0.3116, Loss: 1.635, forward nfe 1469, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 58, Runtime: 0.3893, Loss: 1.486, forward nfe 1495, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 59, Runtime: 0.3380, Loss: 1.548, forward nfe 1521, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.7000, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 60, Runtime: 0.2777, Loss: 1.468, forward nfe 1547, backward nfe 0, tmp_train: 0.4200, tmp_val: 0.6000, tmp_test: 0.4578, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 61, Runtime: 0.3058, Loss: 1.525, forward nfe 1573, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.7400, tmp_test: 0.5542, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 62, Runtime: 0.4140, Loss: 1.531, forward nfe 1599, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5542, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 63, Runtime: 0.2840, Loss: 1.572, forward nfe 1625, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.7400, tmp_test: 0.5542, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 64, Runtime: 0.2684, Loss: 1.508, forward nfe 1651, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 65, Runtime: 0.2768, Loss: 1.556, forward nfe 1677, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 66, Runtime: 0.2732, Loss: 1.503, forward nfe 1703, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 67, Runtime: 0.2935, Loss: 1.591, forward nfe 1729, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 68, Runtime: 0.3736, Loss: 1.556, forward nfe 1755, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 69, Runtime: 0.3457, Loss: 1.488, forward nfe 1781, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 70, Runtime: 0.3092, Loss: 1.580, forward nfe 1807, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 71, Runtime: 0.4075, Loss: 1.542, forward nfe 1833, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7400, Test: 0.5663, Best time: 2.4700
Epoch: 72, Runtime: 0.3209, Loss: 1.578, forward nfe 1859, backward nfe 0, tmp_train: 0.4000, tmp_val: 0.7600, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 73, Runtime: 0.2868, Loss: 1.587, forward nfe 1885, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.7400, tmp_test: 0.5542, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 74, Runtime: 0.2902, Loss: 1.468, forward nfe 1911, backward nfe 0, tmp_train: 0.3800, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 75, Runtime: 0.2974, Loss: 1.577, forward nfe 1937, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.7600, tmp_test: 0.5783, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 76, Runtime: 0.2845, Loss: 1.600, forward nfe 1963, backward nfe 0, tmp_train: 0.5200, tmp_val: 0.4800, tmp_test: 0.5783, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 77, Runtime: 0.3864, Loss: 1.563, forward nfe 1989, backward nfe 0, tmp_train: 0.4800, tmp_val: 0.6200, tmp_test: 0.6145, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 78, Runtime: 0.3198, Loss: 1.521, forward nfe 2015, backward nfe 0, tmp_train: 0.4600, tmp_val: 0.7400, tmp_test: 0.5783, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 79, Runtime: 0.2787, Loss: 1.552, forward nfe 2041, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 80, Runtime: 0.2681, Loss: 1.535, forward nfe 2067, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
