Epoch: 34, Runtime: 0.0899, Loss: 0.165, forward nfe 536, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7912, tmp_test: 0.7909, Train: 0.9929, Val: 0.7934, Test: 0.7919, Best time: 2.2400
Epoch: 35, Runtime: 0.1239, Loss: 0.254, forward nfe 552, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7963, tmp_test: 0.7909, Train: 0.9929, Val: 0.7963, Test: 0.7909, Best time: 2.2400
Epoch: 36, Runtime: 0.0881, Loss: 0.227, forward nfe 568, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7890, tmp_test: 0.7919, Train: 0.9929, Val: 0.7963, Test: 0.7909, Best time: 2.2400
Epoch: 37, Runtime: 0.0645, Loss: 0.117, forward nfe 584, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7868, Train: 0.9929, Val: 0.7963, Test: 0.7909, Best time: 2.2400
Epoch: 38, Runtime: 0.0897, Loss: 0.132, forward nfe 600, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7897, tmp_test: 0.7858, Train: 0.9929, Val: 0.7963, Test: 0.7909, Best time: 2.2400
Epoch: 39, Runtime: 0.0561, Loss: 0.154, forward nfe 616, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7878, Train: 0.9929, Val: 0.7963, Test: 0.7909, Best time: 2.2400
Epoch: 40, Runtime: 0.0961, Loss: 0.142, forward nfe 632, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7898, Train: 0.9929, Val: 0.7963, Test: 0.7909, Best time: 2.2400
Epoch: 41, Runtime: 0.0610, Loss: 0.222, forward nfe 648, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7897, tmp_test: 0.7929, Train: 0.9929, Val: 0.7963, Test: 0.7909, Best time: 2.2400
Epoch: 42, Runtime: 0.0892, Loss: 0.161, forward nfe 664, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.7909, Train: 0.9929, Val: 0.7963, Test: 0.7909, Best time: 2.2400
Epoch: 43, Runtime: 0.0656, Loss: 0.122, forward nfe 680, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.7959, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 44, Runtime: 0.0902, Loss: 0.158, forward nfe 696, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7980, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 45, Runtime: 0.1179, Loss: 0.187, forward nfe 712, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7846, tmp_test: 0.7929, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 46, Runtime: 0.0926, Loss: 0.155, forward nfe 728, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7838, tmp_test: 0.7929, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 47, Runtime: 0.0611, Loss: 0.128, forward nfe 744, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7890, tmp_test: 0.7949, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 48, Runtime: 0.0883, Loss: 0.195, forward nfe 760, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7949, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 49, Runtime: 0.0519, Loss: 0.076, forward nfe 776, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.7980, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 50, Runtime: 0.0933, Loss: 0.161, forward nfe 792, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7827, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 51, Runtime: 0.0584, Loss: 0.188, forward nfe 808, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7858, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 52, Runtime: 0.0906, Loss: 0.134, forward nfe 824, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7939, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 53, Runtime: 0.0578, Loss: 0.134, forward nfe 840, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.8010, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 54, Runtime: 0.0721, Loss: 0.167, forward nfe 856, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7941, tmp_test: 0.8051, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 55, Runtime: 0.1122, Loss: 0.134, forward nfe 872, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7929, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 56, Runtime: 0.1087, Loss: 0.142, forward nfe 888, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7817, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 57, Runtime: 0.0708, Loss: 0.078, forward nfe 904, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7647, tmp_test: 0.7736, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 58, Runtime: 0.0954, Loss: 0.166, forward nfe 920, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7706, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 59, Runtime: 0.0550, Loss: 0.160, forward nfe 936, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7684, tmp_test: 0.7665, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 60, Runtime: 0.0600, Loss: 0.176, forward nfe 952, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7797, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 61, Runtime: 0.0818, Loss: 0.159, forward nfe 968, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7919, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 62, Runtime: 0.0560, Loss: 0.176, forward nfe 984, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7971, tmp_test: 0.7868, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 63, Runtime: 0.0940, Loss: 0.120, forward nfe 1000, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7963, tmp_test: 0.7868, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 64, Runtime: 0.0560, Loss: 0.176, forward nfe 1016, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7949, tmp_test: 0.7858, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 65, Runtime: 0.1356, Loss: 0.193, forward nfe 1032, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7756, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 66, Runtime: 0.0780, Loss: 0.114, forward nfe 1048, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7838, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 67, Runtime: 0.0946, Loss: 0.125, forward nfe 1064, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7882, tmp_test: 0.7919, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 68, Runtime: 0.0606, Loss: 0.121, forward nfe 1080, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7858, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 69, Runtime: 0.0870, Loss: 0.098, forward nfe 1096, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7618, tmp_test: 0.7675, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 70, Runtime: 0.0536, Loss: 0.135, forward nfe 1112, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7618, tmp_test: 0.7624, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 71, Runtime: 0.0950, Loss: 0.151, forward nfe 1128, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7695, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 72, Runtime: 0.0646, Loss: 0.121, forward nfe 1144, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7706, tmp_test: 0.7777, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 73, Runtime: 0.0901, Loss: 0.134, forward nfe 1160, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7787, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 74, Runtime: 0.0639, Loss: 0.095, forward nfe 1176, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7777, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
