Epoch: 68, Runtime: 0.0855, Loss: 1.587, forward nfe 1215, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 69, Runtime: 0.1346, Loss: 1.521, forward nfe 1233, backward nfe 0, tmp_train: 0.4400, tmp_val: 0.4800, tmp_test: 0.4578, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 70, Runtime: 0.1475, Loss: 1.561, forward nfe 1251, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 71, Runtime: 0.0957, Loss: 1.547, forward nfe 1269, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 72, Runtime: 0.1402, Loss: 1.618, forward nfe 1287, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 73, Runtime: 0.1046, Loss: 1.578, forward nfe 1305, backward nfe 0, tmp_train: 0.2800, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 74, Runtime: 0.1914, Loss: 1.730, forward nfe 1323, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 75, Runtime: 0.1033, Loss: 1.670, forward nfe 1341, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 76, Runtime: 0.0765, Loss: 1.591, forward nfe 1359, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 77, Runtime: 0.1482, Loss: 1.746, forward nfe 1377, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 78, Runtime: 0.1439, Loss: 1.672, forward nfe 1395, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 79, Runtime: 0.0920, Loss: 1.557, forward nfe 1413, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 80, Runtime: 0.1401, Loss: 1.559, forward nfe 1431, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 81, Runtime: 0.1375, Loss: 1.586, forward nfe 1449, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1400, tmp_test: 0.1566, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 82, Runtime: 0.1717, Loss: 1.607, forward nfe 1467, backward nfe 0, tmp_train: 0.2200, tmp_val: 0.1400, tmp_test: 0.1446, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 83, Runtime: 0.0965, Loss: 1.644, forward nfe 1485, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7200, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 84, Runtime: 0.1022, Loss: 1.561, forward nfe 1503, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 85, Runtime: 0.1882, Loss: 1.621, forward nfe 1521, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 86, Runtime: 0.0987, Loss: 1.574, forward nfe 1539, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.4200, tmp_test: 0.2771, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 87, Runtime: 0.1004, Loss: 1.482, forward nfe 1557, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 88, Runtime: 0.1684, Loss: 1.586, forward nfe 1575, backward nfe 0, tmp_train: 0.4800, tmp_val: 0.6400, tmp_test: 0.4578, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 89, Runtime: 0.1375, Loss: 1.586, forward nfe 1593, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7600, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 90, Runtime: 0.1515, Loss: 1.607, forward nfe 1611, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 91, Runtime: 0.0784, Loss: 1.595, forward nfe 1629, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 92, Runtime: 0.1800, Loss: 1.684, forward nfe 1647, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 93, Runtime: 0.1067, Loss: 1.512, forward nfe 1665, backward nfe 0, tmp_train: 0.3600, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 94, Runtime: 0.0831, Loss: 1.619, forward nfe 1683, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1566, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 95, Runtime: 0.1519, Loss: 1.605, forward nfe 1701, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 96, Runtime: 0.1278, Loss: 1.661, forward nfe 1719, backward nfe 0, tmp_train: 0.2600, tmp_val: 0.1200, tmp_test: 0.1687, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 97, Runtime: 0.1034, Loss: 1.646, forward nfe 1737, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 98, Runtime: 0.1449, Loss: 1.688, forward nfe 1755, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
Epoch: 99, Runtime: 0.1269, Loss: 1.724, forward nfe 1773, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.3400, Val: 0.7600, Test: 0.5663, Best time: 2.1400
