Epoch: 37, Runtime: 0.0448, Loss: 0.524, forward nfe 803, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6618, tmp_test: 0.6721, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 38, Runtime: 0.0438, Loss: 0.508, forward nfe 825, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6735, tmp_test: 0.6812, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 39, Runtime: 0.0513, Loss: 0.443, forward nfe 847, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6912, tmp_test: 0.6893, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 40, Runtime: 0.0494, Loss: 0.372, forward nfe 869, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6868, tmp_test: 0.6843, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 41, Runtime: 0.0518, Loss: 0.510, forward nfe 891, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6640, tmp_test: 0.6741, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 42, Runtime: 0.0490, Loss: 0.515, forward nfe 913, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6684, tmp_test: 0.6690, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 43, Runtime: 0.0463, Loss: 0.347, forward nfe 935, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6787, tmp_test: 0.6822, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 44, Runtime: 0.0455, Loss: 0.309, forward nfe 957, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6743, tmp_test: 0.6751, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 45, Runtime: 0.0463, Loss: 0.302, forward nfe 979, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6662, tmp_test: 0.6619, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 46, Runtime: 0.0460, Loss: 0.522, forward nfe 1001, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6441, tmp_test: 0.6518, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 47, Runtime: 0.0470, Loss: 0.431, forward nfe 1023, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6382, tmp_test: 0.6416, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 48, Runtime: 0.0476, Loss: 0.402, forward nfe 1045, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6051, tmp_test: 0.6254, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 49, Runtime: 0.0464, Loss: 0.605, forward nfe 1067, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.6118, tmp_test: 0.6325, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 50, Runtime: 0.0463, Loss: 0.463, forward nfe 1089, backward nfe 0, tmp_train: 0.9714, tmp_val: 0.6456, tmp_test: 0.6650, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 51, Runtime: 0.0462, Loss: 0.488, forward nfe 1111, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6706, tmp_test: 0.6792, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 52, Runtime: 0.0469, Loss: 0.232, forward nfe 1133, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6926, tmp_test: 0.6812, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 53, Runtime: 0.0460, Loss: 0.414, forward nfe 1155, backward nfe 0, tmp_train: 0.9786, tmp_val: 0.6919, tmp_test: 0.6832, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 54, Runtime: 0.0622, Loss: 0.454, forward nfe 1177, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6868, tmp_test: 0.6701, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 55, Runtime: 0.0475, Loss: 0.166, forward nfe 1199, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6860, tmp_test: 0.6772, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 56, Runtime: 0.0515, Loss: 0.458, forward nfe 1221, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6875, tmp_test: 0.6883, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 57, Runtime: 0.0482, Loss: 0.380, forward nfe 1243, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6897, tmp_test: 0.6883, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 58, Runtime: 0.0450, Loss: 0.332, forward nfe 1265, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6676, tmp_test: 0.6843, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 59, Runtime: 0.0434, Loss: 0.332, forward nfe 1287, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6559, tmp_test: 0.6680, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 60, Runtime: 0.0454, Loss: 0.451, forward nfe 1309, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6507, tmp_test: 0.6548, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 61, Runtime: 0.0442, Loss: 0.346, forward nfe 1331, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6640, tmp_test: 0.6629, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 62, Runtime: 0.0478, Loss: 0.225, forward nfe 1353, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6691, tmp_test: 0.6751, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 63, Runtime: 0.0448, Loss: 0.262, forward nfe 1375, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6801, tmp_test: 0.6822, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 64, Runtime: 0.0462, Loss: 0.313, forward nfe 1397, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6750, tmp_test: 0.6812, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 65, Runtime: 0.0447, Loss: 0.305, forward nfe 1419, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6765, tmp_test: 0.6802, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 66, Runtime: 0.0451, Loss: 0.265, forward nfe 1441, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6757, tmp_test: 0.6731, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 67, Runtime: 0.0460, Loss: 0.337, forward nfe 1463, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6728, tmp_test: 0.6680, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 68, Runtime: 0.0511, Loss: 0.433, forward nfe 1485, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6515, tmp_test: 0.6579, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 69, Runtime: 0.0509, Loss: 0.340, forward nfe 1507, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6485, tmp_test: 0.6701, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 70, Runtime: 0.0584, Loss: 0.362, forward nfe 1529, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6485, tmp_test: 0.6660, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 71, Runtime: 0.0654, Loss: 0.356, forward nfe 1551, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6493, tmp_test: 0.6772, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 72, Runtime: 0.0485, Loss: 0.294, forward nfe 1573, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6596, tmp_test: 0.6792, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 73, Runtime: 0.0444, Loss: 0.308, forward nfe 1595, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6596, tmp_test: 0.6873, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 74, Runtime: 0.0443, Loss: 0.273, forward nfe 1617, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6640, tmp_test: 0.6914, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 75, Runtime: 0.0466, Loss: 0.295, forward nfe 1639, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6699, tmp_test: 0.6863, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 76, Runtime: 0.0447, Loss: 0.270, forward nfe 1661, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6794, tmp_test: 0.6954, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 77, Runtime: 0.0457, Loss: 0.327, forward nfe 1683, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6750, tmp_test: 0.6914, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 78, Runtime: 0.0454, Loss: 0.448, forward nfe 1705, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6713, tmp_test: 0.6812, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 79, Runtime: 0.0467, Loss: 0.392, forward nfe 1727, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6662, tmp_test: 0.6761, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 80, Runtime: 0.0453, Loss: 0.453, forward nfe 1749, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6721, tmp_test: 0.6772, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 81, Runtime: 0.0474, Loss: 0.441, forward nfe 1771, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6647, tmp_test: 0.6924, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 82, Runtime: 0.0514, Loss: 0.266, forward nfe 1793, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6765, tmp_test: 0.6904, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 83, Runtime: 0.0491, Loss: 0.522, forward nfe 1815, backward nfe 0, tmp_train: 0.9857, tmp_val: 0.6728, tmp_test: 0.6772, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 84, Runtime: 0.0489, Loss: 0.580, forward nfe 1837, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6603, tmp_test: 0.6741, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 85, Runtime: 0.0466, Loss: 0.379, forward nfe 1859, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6404, tmp_test: 0.6711, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
